country,state,city,shape,duration_hours,duration_minutes,duration_seconds,comments,date_posted,latitude,longitude,date,time
au,Queensland,brisbane (qld&#44 australia),fireball,0.001388889,0.083333333,5.0,OK&#44 this&#44 I&#39m sure wasn&#39t a UFO - but I found a link&#44 and I thought I&#39d share it anyway... I had just got home and was locking my car d,11/01/2002,-27.47101,153.024292,13/01/2000,23:30:00
au,Victoria,melbourne (vic&#44 australia),other,0.0,0.0,0.0,ufo&#39s near melbourne with flickering lights,20/11/2001,-37.813938,144.963425,3/11/2001,22:00:00
au,New South Wales,boggabri (australia),disk,0.0,0.0,0.0,Mystery disk siting at on property called BUNGALOW Aust. 11 miles out of Boggabri.,27/04/2003,-30.70953,150.041214,4/11/1970,12:00:00
au,South Australia,adelaide (south australia),light,0.25,15.0,900.0,A bright white light with purple/blue glow.  Got Big.,8/11/2003,-34.928661,138.598633,4/11/2003,22:52:00
au,Queensland,gold coast (australia),circle,0.033333333,2.0,120.0,At first I thought it was the moon and the small large number of clouds were being blown by a fast wind in an easterly direction. Then,14/02/2006,-28.00029,153.430878,14/01/2006,23:00:00
au,Australian Capital Territory,canberra (australia),triangle,0.001388889,0.083333333,5.0,A large black craft with V formation dull glowing lights cruising silently.,4/02/2013,-35.27603,149.13435,14/01/2013,21:30:00
au,Australian Capital Territory,canberra (australia),disk,1.0,60.0,3600.0,silver round stationary 50&#44000 feet 1 hour cesna in size robot in appearence 1981 canberra australia 6 saw 1pm clear day.,14/02/2006,-35.27603,149.13435,15/01/1981,13:00:00
au,Queensland,brisbane (qld&#44 australia),formation,0.016666667,1.0,60.0,Bright white lights in the sky in formation of square. 9 lights in 3 rows of 3.,28/08/2002,-27.47101,153.024292,15/01/1993,20:00:00
au,Victoria,melbourne (tullarmarine) (vic&#44 australia),light,0.004166667,0.25,15.0,light source flying very fast with no sound to be heard,2/12/2000,-37.813938,144.963425,15/01/1999,3:30:00
au,Western Australia,esperance (australia),teardrop,0.005555556,0.333333333,20.0,White spot&#44 moving in one direction and at a slow pace.   No defining shape&#44 just a spot.,19/12/2003,-33.86013,121.882591,5/11/2003,11:30:00
au,Victoria,melbourne (vic&#44 australia),oval,0.0,0.0,0.0,Home Council refers photograph to government agencies An employee of this major municipality during his routine work as a traffic engin,31/01/2004,-37.813938,144.963425,15/01/2004,13:45:00
au,Victoria,beveridge (australia),disk,0.0,0.0,0.0,Vision of UFO exposed on digital photograph&#44 part blur suggested high speed&#44 not sighted by photographer or companions at time.,31/01/2004,-37.483333,144.983333,15/01/2004,14:00:00
au,Queensland,caboolture (australia),light,0.001388889,0.083333333,5.0,A bright light flying very fast across the night sky heading in the east direction,19/01/2005,-27.08465,152.951096,15/01/2005,23:00:00
au,New South Wales,sydney (australia),circle,0.008333333,0.5,30.0,a circle UFO with green&#44red&#44 blue light&#44 about 2miles away in sky,1/02/2007,-33.861481,151.205475,15/01/2007,22:00:00
au,New South Wales,sydney (australia),circle,0.001666667,0.1,6.0,Bright White cigar shaped object with a long tail of Bright white sparks was clearly seen in twilight conditions&#44decent was similar tra,16/12/2005,-33.861481,151.205475,6/11/2005,20:25:00
au,Western Australia,perth (australia),light,4.0,240.0,14400.0,Unusual lights&#44 strobing of unusual colours&#44 mimicing a plane to disappearing and appearing.  ((NUFORC Note:  Twinkling stars??  PD)),12/12/2009,-31.95224,115.861397,6/11/2009,22:00:00
au,New South Wales,sydney (nsw&#44 australia),cylinder,0.166666667,10.0,600.0,A long&#44 rotating tube like object&#44 covered with small windows. Perhaps 50m long. With two antennae like objects protruding from the fro,7/03/1998,-33.861481,151.205475,17/01/1997,2:00:00
au,New South Wales,sydney (nsw&#44 australia),changing,0.033333333,2.0,120.0,UFO changing colour&#44 direction and maybe shape.,21/03/2003,-33.861481,151.205475,17/01/2003,20:45:00
au,Northern Territory,darwin (australia),unknown,0.066666667,4.0,240.0,Flashing white light roughly same position blinking about 30 seconds apart 5 or 6 times before moving further away from the planet,21/11/2010,-12.45722,130.836639,8/11/2010,0:00:00
au,Victoria,melbourne (australia),light,0.166666667,10.0,600.0,3 bright lights seen overheard at different times above Port Phillip bay&#44 Australia. Near Southern Cross and Big Dipper.,14/02/2006,-37.813938,144.963425,19/01/2005,0:45:00
au,New South Wales,gosford (australia),light,0.016666667,1.0,60.0,BRIGHT LIGHT FALLS FROM THE SKY,19/03/2009,-33.4244,151.343994,19/01/2009,4:00:00
au,Victoria,geelong (australia),light,0.016666667,1.0,60.0,faint light dropping towards the horizon then shooting backwards and dissapearing.,31/01/2011,-38.153461,144.358093,19/01/2011,22:35:00
au,New South Wales,byron bay (australia),sphere,0.116666667,7.0,420.0,six spheres emerge from cylindrical cigar shaped cloud,4/03/2003,-28.64201,153.611938,20/01/2003,15:30:00
au,New South Wales,bathurst (australia),rectangle,0.008333333,0.5,30.0,Medium paced object  moving accross the sky with a constant length trail of light following behind it and the UFOeventually dissapears.,24/05/2005,-33.417358,149.581284,20/01/2004,20:30:00
au,New South Wales,sydney (nsw&#44 australia),light,0.000833333,0.05,3.0,Two objects of light shoot silently across the night sky.,23/12/2002,-33.861481,151.205475,10/12/1976,19:30:00
au,New South Wales,sydney (nsw&#44 australia),changing,0.25,15.0,900.0,Four lights&#44 one approached me&#44 then retreated to group&#44 merged and then flew away.,23/12/2002,-33.861481,151.205475,11/12/2002,4:00:00
au,Victoria,casterton (victoria) (australia),oval,0.016666667,1.0,60.0,Driving I saw something in the sky&#44 I looked up abit&#44 then it sort of flashed away&#44 and was gone.,19/09/2002,-37.584888,141.402969,1/12/1992,20:00:00
au,Victoria,melbourne (vic&#44 australia),formation,0.166666667,10.0,600.0,formation of disc shaped crafts in australia,9/12/2003,-37.813938,144.963425,1/12/2003,16:24:00
au,New South Wales,wollongong (nsw&#44 australia),light,0.066666667,4.0,240.0,two star light  UFO&#39s travelling with my car on either side and took off in a unisin in a spiral formation,5/08/2001,-34.424,150.893448,12/12/1991,23:30:00
au,Western Australia,albany (western australia),flash,0.166666667,10.0,600.0,Looking up at the sky for Meteors and Come across a real Bright Star but was moving and had red flashing light on it then disserperd to,28/01/1999,-35.003101,117.865952,14/12/1998,19:30:00
au,Queensland,brisbane (australia),other,0.083333333,5.0,300.0,Flicker&#44 vanish&#44 reappear&#44 then hit warp speed ... its like they were show boating.. now u see me. now u dont.,20/12/2012,-27.47101,153.024292,14/12/2012,23:50:00
au,Queensland,caloundra (australia),sphere,0.001388889,0.083333333,5.0,A spinning sphere shaped object observed in clear blue sky accelerated rapidly away at very high speed,17/09/2003,-26.797091,153.137711,15/12/2002,12:00:00
au,South Australia,adelaide (australia),light,0.083333333,5.0,300.0,Low flying light,14/02/2010,-34.928661,138.598633,15/12/2009,4:42:00
